Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source
Reliance Ventures,Corporate / CVC,"Series A, Series B, Growth","Reliance Ventures focuses on Series A, Series B, Growth opportunities across Climate / Sustainability, Deep Tech, operating as a Corporate / CVC relevant to Indian founders.","Climate / Sustainability, Deep Tech",$1M – $50M,https://www.ril.com,,"Reliance Ventures appears in founder-facing investor maps for Series A, Series B, Growth in Climate / Sustainability, Deep Tech. | Ticket researched: Historical RVAM/Reliance Ventures checks typically $1–50M (Waveup / Investorlist); limited recent public dealflow",,,"Reliance Ventures is listed in the VC Dekho investor directory as a Corporate / CVC with activity across Series A, Series B, Growth. Its stated sector focus covers Climate / Sustainability, Deep Tech, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Reliance Ventures is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Reliance Ventures is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.ril.com
Mahindra Partners,Corporate / CVC,"Series A, Series B, Growth","Mahindra Partners focuses on Series A, Series B, Growth opportunities across Sector Agnostic, operating as a Corporate / CVC relevant to Indian founders.",Sector Agnostic,,https://www.mahindrapartners.com,,"Mahindra Partners appears in founder-facing investor maps for Series A, Series B, Growth in Sector Agnostic.",,,"Mahindra Partners is listed in the VC Dekho investor directory as a Corporate / CVC with activity across Series A, Series B, Growth. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Mahindra Partners is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Mahindra Partners is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.mahindrapartners.com
SIDBI Venture Capital,VC,"Seed, Series A","SIDBI Venture Capital focuses on Seed, Series A opportunities across Sector Agnostic, operating as a VC relevant to Indian founders.",Sector Agnostic,$2.4M – $3.6M,https://www.sidbiventure.co.in,,"SIDBI Venture Capital appears in founder-facing investor maps for Seed, Series A in Sector Agnostic. | Ticket researched: Growth-stage leads often ₹20–30 Cr (~$2.4–3.6M) (SVCL / Waveup)",,,"SIDBI Venture Capital is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, SIDBI Venture Capital is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, SIDBI Venture Capital is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.sidbiventure.co.in
Canbank Venture Capital Fund,VC,"Seed, Series A","Canbank Venture Capital Fund focuses on Seed, Series A opportunities across Sector Agnostic, operating as a VC relevant to Indian founders.",Sector Agnostic,$5M – $10M,https://www.canbankventure.com,,"Canbank Venture Capital Fund appears in founder-facing investor maps for Seed, Series A in Sector Agnostic. | Ticket researched: Usually invests $5–10M (PE List / Canbank funds)",,,"Canbank Venture Capital Fund is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Canbank Venture Capital Fund is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Canbank Venture Capital Fund is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.canbankventure.com
IFCI Venture Capital Funds,VC,"Seed, Series A, Series B","IFCI Venture Capital Funds focuses on Seed, Series A, Series B opportunities across Sector Agnostic, operating as a VC relevant to Indian founders.",Sector Agnostic,$180K – $3.6M,https://www.ifciventure.com,,"IFCI Venture Capital Funds appears in founder-facing investor maps for Seed, Series A, Series B in Sector Agnostic. | Ticket researched: Fund ranges typically ₹1.5–20 Cr to ₹4.5–30 Cr (~$180K–$3.6M) (IFCI Venture fund pages)",,,"IFCI Venture Capital Funds is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A, Series B. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, IFCI Venture Capital Funds is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, IFCI Venture Capital Funds is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.ifciventure.com
True North,PE,"Series B, Growth, Series C+","True North focuses on Series B, Growth, Series C+ opportunities across Sector Agnostic, operating as a PE relevant to Indian founders.",Sector Agnostic,$54M – $81M,https://www.truenorth.co.in,,"True North appears in founder-facing investor maps for Series B, Growth, Series C+ in Sector Agnostic. | Ticket researched: Avg PE ticket ₹450–675 Cr (~$54–81M) (True North Fund VI)",,,"True North is listed in the VC Dekho investor directory as a PE with activity across Series B, Growth, Series C+. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, True North is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, True North is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.truenorth.co.in
ICICI Venture,PE,"Series B, Growth, Series C+","ICICI Venture focuses on Series B, Growth, Series C+ opportunities across Sector Agnostic, operating as a PE relevant to Indian founders.",Sector Agnostic,$10M – $50M,https://www.iciciventure.com,,"ICICI Venture appears in founder-facing investor maps for Series B, Growth, Series C+ in Sector Agnostic. | Ticket researched: Typical deals $10–50M (Unicorn Nest / PE profiles)",,,"ICICI Venture is listed in the VC Dekho investor directory as a PE with activity across Series B, Growth, Series C+. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, ICICI Venture is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, ICICI Venture is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.iciciventure.com
Kotak Private Equity,PE,"Growth, Series C+","Kotak Private Equity focuses on Growth, Series C+ opportunities across Sector Agnostic, operating as a PE relevant to Indian founders.",Sector Agnostic,$20M – $40M,https://www.kotak.com,,"Kotak Private Equity appears in founder-facing investor maps for Growth, Series C+ in Sector Agnostic. | Ticket researched: Targets $20–40M mid-sized India deals (Mergr / KPEG)",,,"Kotak Private Equity is listed in the VC Dekho investor directory as a PE with activity across Growth, Series C+. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Kotak Private Equity is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Kotak Private Equity is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.kotak.com
Acumen,VC,"Seed, Series A","Acumen focuses on Seed, Series A opportunities across Social Impact, operating as a VC relevant to Indian founders.",Social Impact,$500K – $2.5M,https://acumen.org,,"Acumen appears in founder-facing investor maps for Seed, Series A in Social Impact. | Ticket researched: Typical initial $500K–$2.5M (Pipeseed / Acumen profiles)",,,"Acumen is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A. Its stated sector focus covers Social Impact, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Acumen is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Acumen is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://acumen.org
Patamar Capital,VC,"Seed, Series A","Patamar Capital focuses on Seed, Series A opportunities across Fintech, Impact, operating as a VC relevant to Indian founders.","Fintech, Impact",$500K – $5M,https://patamar.com,,"Patamar Capital appears in founder-facing investor maps for Seed, Series A in Fintech, Impact. | Ticket researched: Seed–Series A $500K–$5M (fund profiles)",,,"Patamar Capital is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A. Its stated sector focus covers Fintech, Impact, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Patamar Capital is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Patamar Capital is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),India practice (global),https://patamar.com
Quona Capital,VC,"Seed, Series A, Series B","Quona Capital focuses on Seed, Series A, Series B opportunities across Fintech, operating as a VC relevant to Indian founders.",Fintech,$200K – $10M,https://quona.com,,"Quona Capital appears in founder-facing investor maps for Seed, Series A, Series B in Fintech. | Ticket researched: Initial typically $4–6M; flexible $200K–$10M (Hindu Business Line)",,,"Quona Capital is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A, Series B. Its stated sector focus covers Fintech, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Quona Capital is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Quona Capital is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://quona.com
Flourish Ventures,VC,"Seed, Series A","Flourish Ventures focuses on Seed, Series A opportunities across Fintech, operating as a VC relevant to Indian founders.",Fintech,$1M – $5M,https://flourishventures.com,,"Flourish Ventures appears in founder-facing investor maps for Seed, Series A in Fintech. | Ticket researched: Typical first check $1–5M (TechCabal interview)",,,"Flourish Ventures is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A. Its stated sector focus covers Fintech, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Flourish Ventures is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Flourish Ventures is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://flourishventures.com
Greyhound Capital,VC,"Series A, Series B, Growth","Greyhound Capital focuses on Series A, Series B, Growth opportunities across Consumer / D2C, Fintech, operating as a VC relevant to Indian founders.","Consumer / D2C, Fintech",,https://greyhoundcap.com,,"Greyhound Capital appears in founder-facing investor maps for Series A, Series B, Growth in Consumer / D2C, Fintech.",,,"Greyhound Capital is listed in the VC Dekho investor directory as a VC with activity across Series A, Series B, Growth. Its stated sector focus covers Consumer / D2C, Fintech, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Greyhound Capital is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Greyhound Capital is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://greyhoundcap.com
Steadview Capital,VC,"Series B, Growth, Series C+","Steadview Capital focuses on Series B, Growth, Series C+ opportunities across Consumer / D2C, operating as a VC relevant to Indian founders.",Consumer / D2C,$20M – $100M,https://steadview.com,,"Steadview Capital appears in founder-facing investor maps for Series B, Growth, Series C+ in Consumer / D2C. | Ticket researched: India growth deals typically $20–40M, up to $100M (LiveMint / Inc42)",,,"Steadview Capital is listed in the VC Dekho investor directory as a VC with activity across Series B, Growth, Series C+. Its stated sector focus covers Consumer / D2C, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Steadview Capital is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Steadview Capital is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://steadview.com
Rebright Partners,VC,"Seed, Series A","Rebright Partners focuses on Seed, Series A opportunities across Sector Agnostic, operating as a VC relevant to Indian founders.",Sector Agnostic,$500K – $5M,https://rebrightpartners.com,,"Rebright Partners appears in founder-facing investor maps for Seed, Series A in Sector Agnostic. | Ticket researched: Typical check $500K–$5M (Pipeseed / profiles)",,,"Rebright Partners is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Rebright Partners is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Rebright Partners is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),India practice (global),https://rebrightpartners.com
Entrepreneur First,Accelerator,Pre-Seed,"Entrepreneur First focuses on Pre-Seed opportunities across Deep Tech, AI / ML, operating as a Accelerator relevant to Indian founders.","Deep Tech, AI / ML",$100K – $250K,https://www.joinef.com,,"Entrepreneur First appears in founder-facing investor maps for Pre-Seed in Deep Tech, AI / ML. | Ticket researched: Up to $250K once company formed (EF site)",,,"Entrepreneur First is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed. Its stated sector focus covers Deep Tech, AI / ML, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Entrepreneur First is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Entrepreneur First is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://www.joinef.com
Antler,Accelerator,"Pre-Seed, Seed","Antler focuses on Pre-Seed, Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,$250K – $500K,https://www.antler.co,,"Antler appears in founder-facing investor maps for Pre-Seed, Seed in Sector Agnostic. | Ticket researched: India residency/ARC initial ~$250–500K / up to ~₹4 Cr (Antler India / Forbes)",,,"Antler is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Antler is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Antler is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://www.antler.co
Surge,Accelerator,Seed,"Surge focuses on Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,$500K – $5M,https://surge.com,,Peak XV Surge | Ticket researched: Seed capital $500K–$5M from Peak XV (Surge site),,,"Surge is listed in the VC Dekho investor directory as a Accelerator with activity across Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Surge is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Peak XV Surge Overall, Surge is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://surge.com
Y Combinator,Accelerator,"Pre-Seed, Seed","Y Combinator focuses on Pre-Seed, Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,$125K – $500K,https://www.ycombinator.com,,"Y Combinator appears in founder-facing investor maps for Pre-Seed, Seed in Sector Agnostic.",,,"Y Combinator is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Typical cheque sizes are described as $125K – $500K. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Y Combinator is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Y Combinator is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://www.ycombinator.com
Techstars,Accelerator,"Pre-Seed, Seed","Techstars focuses on Pre-Seed, Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,$100K – $220K,https://www.techstars.com,,"Techstars appears in founder-facing investor maps for Pre-Seed, Seed in Sector Agnostic. | Ticket researched: Most programs $220K; APAC often ~$100–120K (Techstars terms)",,,"Techstars is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Techstars is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Techstars is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://www.techstars.com
500 Global,VC,"Pre-Seed, Seed","500 Global focuses on Pre-Seed, Seed opportunities across Sector Agnostic, operating as a VC relevant to Indian founders.",Sector Agnostic,$50K – $500K,https://500.co,,"500 Global appears in founder-facing investor maps for Pre-Seed, Seed in Sector Agnostic.",,,"500 Global is listed in the VC Dekho investor directory as a VC with activity across Pre-Seed, Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Typical cheque sizes are described as $50K – $500K. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, 500 Global is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, 500 Global is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://500.co
SOSV,VC,"Pre-Seed, Seed","SOSV focuses on Pre-Seed, Seed opportunities across Deep Tech, Health, operating as a VC relevant to Indian founders.","Deep Tech, Health",$100K – $550K,https://sosv.com,,"SOSV appears in founder-facing investor maps for Pre-Seed, Seed in Deep Tech, Health. | Ticket researched: Pre-seed up to $550K (sosv.com)",,,"SOSV is listed in the VC Dekho investor directory as a VC with activity across Pre-Seed, Seed. Its stated sector focus covers Deep Tech, Health, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, SOSV is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, SOSV is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://sosv.com
Jungle Ventures,VC,"Seed, Series A, Series B","Jungle Ventures focuses on Seed, Series A, Series B opportunities across Sector Agnostic, operating as a VC relevant to Indian founders.",Sector Agnostic,$500K – $20M,https://www.jungle.vc,,"Jungle Ventures appears in founder-facing investor maps for Seed, Series A, Series B in Sector Agnostic. | Ticket researched: Typically $500K–$20M (jungle.vc)",,,"Jungle Ventures is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A, Series B. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Jungle Ventures is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Jungle Ventures is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),India practice (global),https://www.jungle.vc
Openspace Ventures,VC,"Seed, Series A, Series B","Openspace Ventures focuses on Seed, Series A, Series B opportunities across Sector Agnostic, operating as a VC relevant to Indian founders.",Sector Agnostic,$2M – $20M,https://www.openspace.vc,,"Openspace Ventures appears in founder-facing investor maps for Seed, Series A, Series B in Sector Agnostic. | Ticket researched: First cheque $2–20M (SEA VC directories)",,,"Openspace Ventures is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A, Series B. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Openspace Ventures is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Overall, Openspace Ventures is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),India practice (global),https://www.openspace.vc
